,Ric_adim,phi,delta,phi0,dot_r,phi_r,phi_t
0,100.0,0.19996,130322.90823806387,0.2,100.0,0.1998547125736716,0.1999848846220662
0,10.0,0.18891,45.386424467271645,0.2,0.31622776601683794,0.16510431197679454,0.19559972508505585
0,100.0,0.16229000000000002,149.488677981641,0.2,0.1,0.12266830974285793,0.1752916596262718
0,100.0,0.18798,463.777243744572,0.2,0.31622776601683794,0.16407396593525492,0.19445203699751898
0,10.0,0.055599,0.4109162669675273,0.2,0.01,0.04243463523311908,0.03516550120584605
0,10.0,0.0026639,0.026449042040863673,0.2,0.0001,0.003016358367559646,0.00024587109029872156
0,100.0,0.0043441,0.08600390368223022,0.2,0.001,0.013254807858454232,0.0025479853173070444
0,10.0,0.010819,0.08565091155331814,0.2,0.001,0.012381796869716077,0.0025621947326640577
0,100.0,0.2,1302574.2156537564,0.2,1000.0,0.19998545995963068,0.19999848908352924
0,100.0,0.00056684,0.0,0.2,0.0001,0.0040235468151208495,0.0002402897099275103
0,10.0,0.19996,13137.100566637282,0.2,100.0,0.1998628177676468,0.1999870162048896
0,10.0,0.16676,13.584755930421556,0.2,0.1,0.12320387354517626,0.18379644985477409
0,100.0,0.096631,2.21841832336755,0.2,0.03162277660168379,0.07654772054551763,0.09933378042698104
0,10.0,0.11494000000000001,1.8575412186613653,0.2,0.03162277660168379,0.07598882008834584,0.129713642832876
0,100.0,0.038591,0.4015145797937959,0.2,0.01,0.04335268056907626,0.030091588832323657
0,10.0,0.2,131322.94799478463,0.2,1000.0,0.1999862725370326,0.19999870216104654
0,100.0,0.5997399999999999,57846.05448631962,0.6,100.0,0.5990196886913013,0.5998987646084172
0,10.0,0.529,15.331286144041277,0.6,0.31622776601683794,0.3581903031836312,0.5765590948849653
0,10.0,0.043046,0.11983419031135836,0.6,0.00316227766016838,0.017884721044309382,0.002280747196335309
0,100.0,0.0075442999999999994,0.11782957490332423,0.6,0.0031622776601683794,0.024077260431551676,0.002245850842161557
0,100.0,0.34646,18.202328758628184,0.6,0.1,0.17889452448053322,0.44316497846656205
0,10.0,0.5999899999999999,186317.20700152317,0.6,3162.2776601683795,0.5999718677411424,0.5999973983183493
0,100.0,0.51923,153.85371779099475,0.6,0.31622776601683794,0.3509754417218207,0.5674939808550494
0,10.0,0.083526,0.23231107772036838,0.6,0.01,0.038422851048826256,0.009958683144094094
0,10.0,0.007292699999999999,0.02034781065836324,0.6,0.0001,0.001050800317282885,6.570572769015737e-05
0,100.0,0.0035581,0.06608804951442555,0.6,0.001,0.012993363886353635,0.0006426229066595067
0,10.0,0.023763,0.06549163065908035,0.6,0.001,0.007663185624940394,0.0006795661289079603
0,100.0,0.59997,578899.3803690405,0.6,1000.0,0.5999019697241441,0.5999898760547409
0,100.0,0.00081502,0.0,0.6,0.0001,0.0012459011752112836,5.8387015046013076e-05
0,10.0,0.59977,5887.93259453883,0.6,100.0,0.5991112839596542,0.5999178421447318
0,10.0,0.39594,3.0935343763018937,0.6,0.1,0.17283835891369906,0.5286102675495095
0,100.0,0.078284,0.5466607258723514,0.6,0.03162277660168379,0.08733238840092494,0.04059822894203125
0,10.0,0.18488,0.585450182547851,0.6,0.03162277660168379,0.08002507409808701,0.24981113634561536
0,100.0,0.020592,0.22649321965424993,0.6,0.01,0.04503336216686593,0.008358887336441191
0,10.0,0.013156999999999999,0.036424119699649427,0.6,0.00031622776601683794,0.0029515452496746697,0.00021034308487399844
0,10.0,0.5999800000000001,58922.79781939509,0.6,1000.0,0.5999111345730311,0.5999917828655515
0,100.0,0.5999899999999999,1830221.753278884,0.6,3162.2776601683795,0.5999690113456212,0.5999967994555442
0,100.0,0.79985,129968.82647444734,0.8,100.0,0.7994177501311384,0.7999398878181851
0,10.0,0.75543,21.62128874200389,0.8,0.31622776601683794,0.558893666859265,0.7875056846412021
0,100.0,0.64759,28.010169272738633,0.8,0.1,0.2132573329773031,0.7690584170460811
0,100.0,0.75185,190.44312058472138,0.8,0.31622776601683794,0.5321066038195579,0.7853868041840029
0,10.0,0.15300999999999998,0.2510002029806607,0.8,0.01,0.033355313892054934,0.03055622429021632
0,10.0,0.013831999999999999,0.02123183341941506,0.8,0.0001,0.0007104120798930857,4.4827059072827253e-05
0,100.0,0.005188,0.06691167770894785,0.8,0.001,0.01224525383849906,0.000425628836287939
0,10.0,0.043581,0.06839779177511243,0.8,0.001,0.00545818947643173,0.000467010916258892
0,100.0,0.79998,1302289.4539990162,0.8,1000.0,0.7999418672542886,0.7999939836322347
0,100.0,0.0014424000000000001,0.02246815037419649,0.8,0.0001,0.0008518299081246018,3.708538427893425e-05
0,10.0,0.79986,13176.582142163508,0.8,100.0,0.7994634622333905,0.7999501456205245
0,10.0,0.6593399999999999,3.803592733814677,0.8,0.1,0.19862122245014133,0.7722782784665607
0,100.0,0.31701,0.9233081946874079,0.8,0.03162277660168379,0.09148214088041083,0.7505967608645765
0,10.0,0.38611999999999996,0.7679064062798859,0.8,0.03162277660168379,0.07673432788513401,0.7219473061947612
0,100.0,0.026851999999999997,0.2393660009599949,0.8,0.01,0.045557614536654856,0.0059551758737598215
0,10.0,0.79999,131982.0280270442,0.8,1000.0,0.7999464188114283,0.7999950119285707
